时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:355	WTRIGHT(D0:74:13:DA:DA:8C)	-0.662	0.697	0.221	0.549	-0.305	2.258	-18.82	45.01	-163.58	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:356	WTRIGHT(D0:74:13:DA:DA:8C)	-0.66	0.699	0.22	0.427	-0.183	2.014	-18.81	44.99	-163.58	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:356	WTRIGHT(D0:74:13:DA:DA:8C)	-0.656	0.701	0.223	0.793	-0.183	1.892	-18.81	44.98	-163.58	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:356	WTRIGHT(D0:74:13:DA:DA:8C)	-0.655	0.701	0.223	0.61	-0.061	1.648	-18.8	44.98	-163.57	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:356	WTRIGHT(D0:74:13:DA:DA:8C)	-0.66	0.705	0.218	0.549	-0.183	1.526	-18.8	44.97	-163.57	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:357	WTRIGHT(D0:74:13:DA:DA:8C)	-0.659	0.703	0.218	0.366	-0.122	1.465	-18.8	44.97	-163.57	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:357	WTRIGHT(D0:74:13:DA:DA:8C)	-0.656	0.704	0.214	0.244	-0.183	1.343	-18.79	44.96	-163.56	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:369	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.651	0.777	1.526			-40.52	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:369	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.652	0.775	1.282	-0.061		-40.52	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:369	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.651	0.779	1.221	-0.183		-40.51	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:370	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.649	0.778	0.916	-0.122		-40.51	1.41	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:370	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.65	0.779	0.793	-0.122		-40.51	1.41	-75.5	-86.142	1.96	31.85	30	100
