时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:27:814	WTLEFT(C3:11:EA:D7:53:77)	-0.053	-0.074	1.004	6.165	-2.869	0.061	-4.24	3.83	-90.21	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:816	WTLEFT(C3:11:EA:D7:53:77)	-0.056	-0.072	0.962	6.47	-3.052		-4.11	3.77	-90.21	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:833	WTRIGHT(D0:74:13:DA:DA:8C)	-0.108	0.977	-0.096	-0.916	1.038	10.925	5.53	9.62	-145.59	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:834	WTRIGHT(D0:74:13:DA:DA:8C)	-0.06	0.99	-0.139	-1.099	0.854	9.949	5.51	9.44	-145.56	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:877	WTLEFT(C3:11:EA:D7:53:77)	-0.051	-0.062	1.025	6.653	-2.502	0.061	-3.98	3.72	-90.2	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:877	WTLEFT(C3:11:EA:D7:53:77)	-0.052	-0.064	1	5.371	-2.38	-0.061	-3.87	3.67	-90.19	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:896	WTRIGHT(D0:74:13:DA:DA:8C)	-0.067	0.984	-0.122	-1.709	0.183	7.996	5.48	9.28	-145.54	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:896	WTRIGHT(D0:74:13:DA:DA:8C)	-0.036	1.002	-0.092	-1.038	0.305	5.005	5.45	9.16	-145.51	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:903	WTLEFT(C3:11:EA:D7:53:77)	-0.049	-0.06	1.041	4.211	-1.953		-3.78	3.64	-90.19	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:904	WTLEFT(C3:11:EA:D7:53:77)	-0.05	-0.057	1.057	1.221	-1.709		-3.74	3.6	-90.18	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:924	WTRIGHT(D0:74:13:DA:DA:8C)	-0.063	1.011	-0.118	-0.854	0.305	2.38	5.43	9.1	-145.49	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:924	WTRIGHT(D0:74:13:DA:DA:8C)	-0.083	0.991	-0.119	-1.221	-0.244	-0.61	5.41	9.08	-145.46	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:936	WTLEFT(C3:11:EA:D7:53:77)	-0.05	-0.06	1.03	-1.343	-0.183		-3.74	3.59	-90.18	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:937	WTLEFT(C3:11:EA:D7:53:77)	-0.051	-0.062	1.035	-2.747	0.61	-0.061	-3.78	3.6	-90.18	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:988	WTRIGHT(D0:74:13:DA:DA:8C)	-0.101	0.986	-0.12	-1.709	-0.61	-3.662	5.38	9.12	-145.45	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:989	WTRIGHT(D0:74:13:DA:DA:8C)	-0.108	0.989	-0.107	-1.221	-0.488	-4.883	5.36	9.19	-145.43	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:27:998	WTLEFT(C3:11:EA:D7:53:77)	-0.049	-0.059	1.031	-4.15	0.854	-0.122	-3.85	3.62	-90.18	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:27:999	WTLEFT(C3:11:EA:D7:53:77)	-0.053	-0.063	1.014	-5.371	0.916	-0.122	-3.94	3.64	-90.19	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:28:17	WTRIGHT(D0:74:13:DA:DA:8C)	-0.141	0.988	-0.111	-1.526	-0.427	-6.226	5.33	9.29	-145.4	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:28:17	WTRIGHT(D0:74:13:DA:DA:8C)	-0.09	0.968	-0.128	-2.502	-1.343	-6.226	5.3	9.4	-145.38	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:28:30	WTLEFT(C3:11:EA:D7:53:77)	-0.051	-0.068	1.004	-6.775	1.343	-0.244	-4.06	3.66	-90.19	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:28:31	WTLEFT(C3:11:EA:D7:53:77)	-0.052	-0.07	0.979	-5.554	1.221	-0.244	-4.18	3.69	-90.19	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:28:44	WTRIGHT(D0:74:13:DA:DA:8C)	-0.055	0.99	-0.118	-2.563	-1.343	-7.996	5.25	9.53	-145.37	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:28:44	WTRIGHT(D0:74:13:DA:DA:8C)	-0.076	1.003	-0.091	-2.625	-1.587	-10.498	5.2	9.7	-145.36	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:28:55	WTLEFT(C3:11:EA:D7:53:77)	-0.05	-0.069	1.039	-6.836	1.709	-0.244	-4.29	3.72	-90.2	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:28:55	WTLEFT(C3:11:EA:D7:53:77)	-0.058	-0.068	1.062	-9.888	2.625	-0.305	-4.46	3.76	-90.21	-80.458	-0.588	7.84	27.6	100
2025-6-24 23:35:28:105	WTRIGHT(D0:74:13:DA:DA:8C)	-0.091	0.983	-0.125	-2.625	-1.77	-14.038	5.15	9.93	-145.35	-52.038	-38.024	82.124	28.3	100
2025-6-24 23:35:28:105	WTRIGHT(D0:74:13:DA:DA:8C)	-0.073	0.991	-0.112	-2.747	-2.441	-16.602	5.1	10.21	-145.34	-52.038	-38.024	82.124	28.3	100
