时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:13:834	WTLEFT(C3:11:EA:D7:53:77)	-0.024	-0.012	0.982	-10.742	2.258	-0.305	-1.7	1.8	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:835	WTLEFT(C3:11:EA:D7:53:77)	-0.018	-0.038	1.02	-13.611	2.563	0.061	-1.93	1.84	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:891	WTRIGHT(D0:74:13:DA:DA:8C)	0.051	1	-0.037	-4.211	-1.404	-17.273	1.61	0.25	-148.93	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:893	WTRIGHT(D0:74:13:DA:DA:8C)	0.096	0.998	-0.048	-4.272	-1.648	-18.25	1.54	0.58	-148.92	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:902	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.033	1.041	-15.808	1.16	-0.061	-2.21	1.88	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:903	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.042	1.051	-18.616	-0.244	-0.061	-2.55	1.88	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:913	WTRIGHT(D0:74:13:DA:DA:8C)	0.071	1.001	-0.073	-6.409	6.47	-20.508	1.44	0.94	-148.86	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:914	WTRIGHT(D0:74:13:DA:DA:8C)	0.011	1.006	-0.043	-5.798	-1.038	-25.024	1.34	1.37	-148.82	-55.958	-40.768	81.928	28.3	100
2025-6-24 23:35:13:925	WTLEFT(C3:11:EA:D7:53:77)	-0.018	-0.044	1.072	-23.132	0.732	-0.183	-2.96	1.88	-90.88	-80.556	-1.078	8.036	27.6	100
2025-6-24 23:35:13:925	WTLEFT(C3:11:EA:D7:53:77)	-0.017	-0.055	1.028	-25.269	1.648	-0.061	-3.43	1.92	-90.88	-80.458	-1.176	8.33	27.6	100
2025-6-24 23:35:13:944	WTRIGHT(D0:74:13:DA:DA:8C)	0.042	0.994	-0.05	-6.653	-1.343	-26.917	1.22	1.86	-148.8	-55.958	-40.768	81.928	28.3	100
